extension,repos,files
.bin/rc,54,105
.plo,53,6477
.perl,53,1599
.datasource,53,1558
.bed,53,1545
.unity,53,1278
.table,53,798
.pre,53,403
.setup,53,330
.arm64,53,268
.initd,53,233
.doc-base,53,181
.aix,53,123
.mmdb,53,107
.com/codegangsta/cli/license,53,106
.tlog,52,2476
.root,52,1629
.fai,52,503
.hidden,52,233
.bin/json5,52,223
.if,52,156
.3/dockerfile,52,146
.amiga,52,128
.yarnclean,52,118
.substvars,52,117
.openbsd,52,105
.expect,51,35916
.run,51,3100
.cfm,51,2101
.tcc,51,1139
.gp,51,797
.xcdatamodel/contents,51,664
.iws,51,319
.testsettings,51,201
.ext2,51,188
.android,51,153
.override,51,136
.csv#,51,135
.io,51,132
.alias,51,121
.mwb,51,117
.comp,50,10655
.snippet,50,812
.req,50,543
.cpg,50,470
.std,50,417
.srt,50,335
.help,50,280
.gperf,50,276
.26,50,268
.stamp,50,225
.all,50,219
.idb,50,214
.attr,50,196
.lex,50,144
.vdproj,50,135
.string/rakefile,50,125
.3ctype,50,106
.blg,50,106
.sha512,49,4479
.myapp,49,4258
.bam,49,3036
.ascx,49,2474
.hrl,49,2132
.cql,49,1857
.opam,49,298
.copy,49,204
.ext3,49,130
.netbsd,49,107
.hx,48,15469
.bcmap,48,13104
.dex,48,1731
.utf8,48,1598
.ss,48,1356
.base64,48,1293
.dpr,48,998
.fbx,48,949
.shtml,48,733
.ap_,48,544
.svn/format,48,430
.xjb,48,372
.28,48,270
.27,48,269
.errors,48,255
.workspace,48,251
.ext1,48,243
.interp,48,230
.wxi,48,202
.bin/strip-ansi,48,165
.server,48,127
.string/gemfile,48,122
.gn,47,10148
.owl,47,4193
.tmx,47,2542
.ahk,47,2302
.par,47,1042
.keepme,47,664
.prop,47,289
.iso,47,180
.vsdx,47,129
.vsmdi,47,122
.baseline,46,5071
.ok,46,2043
.vspscc,46,1726
.aff,46,1120
.includecache,46,370
.modules,46,338
.shared,46,208
.peg,46,194
.cpp~,46,186
.ja,46,178
.templates,46,151
.sv,45,7642
.ddl,45,7566
.gml,45,6379
.cljs,45,4985
.cuh,45,2489
.stderr,45,1834
.stdout,45,1330
.hdf5,45,1212
.geom,45,1200
.gmo,45,1081
.dist-info/installer,45,818
.docbook,45,718
.lint,45,353
.arm,45,289
.id,45,254
.merlin,45,196
.xlsm,45,191
.hqx,45,168
.bin/supports-color,45,138
.dvi,45,136
.bin/jsesc,45,124
.intel,45,112
.vsconfig,45,107
.scr,44,679
.transform,44,548
.work,44,519
.vapi,44,474
.path,44,466
.dxf,44,442
.wmf,44,411
.0/rakefile,44,306
.mkv,44,218
.document,44,194
.bkp,44,183
.4/dockerfile,44,135
.dos,44,135
.x86_64,44,129
.sysconfig,44,119
.ncb,44,114
.jq,44,110
.0/version,44,109
.factorypath,44,105
.xliff,43,1342
.hook,43,916
.01,43,701
.lyx,43,358
.dec,43,343
.apib,43,318
.rsa,43,302
.exclude,43,254
.lastbuildstate,43,254
.fr,43,170
.plg,43,145
.engine,43,141
.site,43,140
.acorn,43,134
.com/godbus/dbus/license,43,105
.2/changelog,43,104
.pbtxt,42,10212
.nb,42,2096
.bai,42,1374
.job,42,760
.lhs,42,694
.references,42,672
.jenkinsfile,42,531
.data-00000-of-00001,42,503
.seq,42,427
.avro,42,415
.gox,42,323
.fbp,42,315
.google,42,280
.afdesign,42,276
.nunit,42,211
.cross,42,143
.nginx,42,104
.tags,41,2980
.dcm,41,1491
.dfm,41,1475
.pbm,41,1221
.bsh,41,1077
.metal,41,912
.pt,41,907
.aj,41,710
.ver,41,414
.axml,41,403
.pfb,41,355
.cson,41,348
.error,41,302
.xcplayground,41,217
.hhp,41,207
.30,41,164
.dist-info/zip-safe,41,138
.changelog,41,114
.framework/modules,41,114
.back,41,109
.ttc,41,109
.rds,40,140538
.gql,40,24292
.jam,40,4799
.lo,40,2357
.spv,40,2042
.temp,40,701
.min,40,698
.phps,40,601
.bcc,40,535
.isl,40,516
.xdt,40,467
.p7s,40,412
.fbs,40,376
.ks,40,337
.mime,40,328
.ashx,40,284
.tmpreferences,40,227
.bin/browserslist,40,162
.32,40,160
.generic,40,125
.bin/has-ansi,40,119
.atom,40,104
.tasks,40,103
.scad,39,1864
.pgp,39,1281
.pcx,39,745
.b,39,706
.stp,39,699
.e,39,575
.dirstamp,39,553
.param,39,506
.wkt,39,405
.gliffy,39,390
.unx,39,300
.post,39,298
.swagger-codegen-ignore,39,291
.amd64,39,272
.de,39,201
.imp,39,166
.c~,39,157
.pam,39,141
.static,39,113
.6/dockerfile,39,106
.1/configure,39,102
.flags,38,2737
.tsbuildinfo,38,1857
.mcmeta,38,1479
.zone,38,1015
.drl,38,763
.filter,38,733
.qpj,38,670
.partial,38,523
.lp,38,440
.en,38,375
.product,38,315
.ninja,38,305
.extra,38,240
.hhc,38,201
.mask,38,138
.svnignore,38,124
.bin/loose-envify,38,114
.disable,38,112
.sco,38,101
.sls,37,2465
.mesh,37,1568
.ms,37,638
.xul,37,559
.ascii,37,554
.swc,37,295
.plt,37,204
.ind,37,193
.bpr,37,192
.xccurrentversion,37,150
.lck,37,144
.ilk,37,142
.protocol,37,125
.pyproj,37,116
.dts,36,5658
.bnd,36,4301
.dmp,36,2815
.libsonnet,36,2513
.frm,36,1670
.jp2,36,1070
.top,36,1006
.tbi,36,825
.asd,36,702
.cocci,36,459
.hash,36,406
.loc,36,401
.style,36,367
.sbn,36,328
.mll,36,319
.keys,36,306
.templ,36,234
.handlers,36,195
.confd,36,174
.state,36,157
.bar,36,151
.num,36,145
.ppc,36,132
.tdnet,36,115
.autotest,36,108
.gold,35,8349
.jsonld,35,5241
.jrxml,35,1379
.jsonc,35,968
.star,35,735
.au,35,464
.ply,35,445
.svc,35,413
.gnuplot,35,375
.graphqls,35,346
.sbx,35,315
.mem,35,250
.latex,35,228
.gotmpl,35,174
.its,35,166
.vssscc,35,135
.centos,35,134
.custom,35,130
.prefab,34,22607
.fastq,34,4669
.ds,34,2200
.mdl,34,860
.gff,34,330
.vsix,34,223
.skeleton,34,217
.29,34,167
.aiff,34,161
.d/readme,34,151
.broken,34,149
.b64,34,142
.car,34,129
.bin/babylon,34,117
.epf,34,109
.code-snippets,34,107
.framework/_codesignature/coderesources,34,105
.aml,33,3657
.bbappend,33,3303
.robot,33,2528
.cljc,33,1179
.ecore,33,771
.eex,33,735
.good,33,708
.ec,33,614
.asn1,33,603
.rockspec,33,418
.versionsbackup,33,390
.add,33,331
.versions,33,281
.mount,33,235
.params,33,171
.binary,33,148
.1/rakefile,33,127
.lproj,33,125
.go/license,33,101
.csl,32,31095
.prof,32,5067
.sf,32,3432
.cif,32,3099
.report,32,2167
.sld,32,1891
.br,32,1262
.network,32,1089
.exsd,32,1010
.xdc,32,820
.hdf,32,809
.crc,32,782
.smd,32,654
.mmp,32,486
.gs,32,462
.rnw,32,443
.sdl,32,386
.mly,32,280
.nanorc,32,248
.02,32,195
.py3,32,184
.copyright,32,167
.dif,32,156
.osm,32,156
.cab,32,148
.bin/webpack,32,144
.ctl,31,14217
.pbf,31,3321
.pak,31,1764
.cr,31,1517
.xq,31,922
.tpp,31,790
.3ds,31,636
.vsh,31,508
.raml,31,451
.swiftdoc,31,440
.crx,31,402
.swiftmodule,31,368
.bbclass,31,357
.sage,31,288
.truststore,31,270
.csx,31,257
.hhk,31,177
.pip,31,165
.vcl,31,140
.lsm,31,139
.31,31,116
.33,31,113
.ndjson,30,4118
.avif,30,789
.04/dockerfile,30,690
.tgt,30,630
.names,30,629
.il,30,510
.sl,30,419
.ronn,30,384
.spl,30,351
.mdf,30,345
.gtf,30,293
.skel,30,199
.mng,30,177
.sublime-syntax,30,167
.40,30,134
.ldf,30,133
.35,30,123
.mar,30,114
.pac,30,107
.deploy,29,13015
.arff,29,2487
.gni,29,2136
.chromium,29,1660
.exr,29,1524
.sam,29,1066
.bson,29,966
.ucls,29,656
.bdf,29,327
.soy,29,311
.cfs,29,258
.wxl,29,256
.0/gemfile,29,206
.gcode,29,174
.sublime-settings,29,170
.omf,29,157
.pages,29,156
.gitrepo,29,123
.3/rakefile,29,122
.34,29,116
.exports,28,4560
.misc,28,3614
.dproj,28,1156
.link,28,1111
.jison,28,1067
.ft,28,857
.prf,28,599
.nw,28,535
.asmdef,28,479
.snapshot,28,477
.imports,28,474
.prm,28,382
.any,28,381
.zst,28,253
.disco,28,189
.2/rakefile,28,173
.set,28,155
.ids,28,138
.textlintrc,28,117
.full,28,112
.vsct,28,111
.vtk,27,13725
.lockfile,27,4310
.bugfix,27,3355
.overrides,27,3168
.q,27,2721
.flf,27,2499
.n,27,2487
.jelly,27,2091
.str,27,1412
.nim,27,1337
.ctags,27,1249
.pcf,27,642
.at,27,601
.kicad_pcb,27,374
.genmodel,27,354
.aac,27,352
.tac,27,335
.orc,27,320
.svcinfo,27,316
.pf,27,289
.do,27,267
.gpkg,27,262
.dsl,27,252
.brd,27,241
.rgb,27,201
.bck,27,171
.svcmap,27,167
.vars,27,166
.opus,27,162
.wpj,27,155
.blend1,27,113
.label,27,112
.64,27,107
.plantuml,27,105
.store,27,103
.after,26,18844
.td,26,9646
.icf,26,2766
.stats,26,1376
.msh,26,1089
.cp,26,942
.rabl,26,911
.mxml,26,734
.rkt,26,712
.xctimeline,26,665
.sml,26,595
.swig,26,583
.mts,26,519
.core/nonchainingjarscache,26,516
.application,26,473
.j,26,468
.stringsdict,26,423
.rom,26,407
.chk,26,395
.repository,26,388
.emf,26,352
.pmd,26,319
.dfa,26,302
.m3u,26,244
.mediawiki,26,168
.capnp,26,163
.head,26,140
.dcf,26,121
.dgml,26,114
.4/rakefile,26,103
.ad,25,16558
.xtend,25,6541
.cfc,25,4036
.ncrunchproject,25,788
.repositories,25,779
.vc6,25,654
.tfstate,25,599
.stat,25,555
.stg,25,518
.uxf,25,472
.cmp,25,456
.tflite,25,418
.lnx,25,385
.jspx,25,384
.cli,25,374
.heic,25,345
.results,25,228
.nav,25,187
.copycomplete,25,155
.fmt,25,151
.mmd,25,148
.mpl,25,143
.syn,25,143
.kdevelop,25,125
.readonly,25,124
.bcf,25,108
.psp,25,103
.systemd,25,103
.check,24,12156
.fsh,24,6547
.reference,24,4611
.variables,24,3075
.hlp,24,1513
.provides,24,895
.aif,24,777
.vstemplate,24,514
.swg,24,412
.licenseheader,24,308
.pnm,24,294
.ssl,24,281
.rule,24,264
.font,24,219
.footer,24,138
.asv,24,135
.preset,24,135
.pbs,24,134
.nfo,24,132
.native,24,127
.clean,24,125
.cdr,24,122
.ldb,24,113
.texinfo,24,111
.icon,23,4392
.bpmn,23,2874
.ko,23,1414
.qdoc,23,1331
.rjs,23,1179
.sparql,23,1055
.bp,23,928
.gsp,23,898
.ep,23,842
.pat,23,738
.zlib,23,652
.abap,23,646
.dta,23,462
.ttinclude,23,386
.psf,23,374
.specs,23,309
.jspf,23,230
.pos,23,224
.swagger-codegen/version,23,224
.obo,23,209
.terms,23,190
.wrl,23,173
.git/config,23,162
.epp,23,149
.50,23,144
.order,23,143
.mcp,23,134
.client,23,133
.environment,23,128
.c++,23,101
.recipe,22,16448
.ql,22,13742
.ast,22,10536
.n3,22,3474
.fixed,22,2596
.sunwcch,22,2192
.mtx,22,1615
.vrt,22,1551
.gbs,22,1390
.gb,22,1233
.core,22,1130
.sct,22,953
.fzz,22,942
.hxml,22,589
.escript,22,543
.torrent,22,502
.pd,22,493
.nd,22,402
.for,22,388
.fq,22,342
.tmtheme,22,307
.lic,22,297
.nocover,22,284
.openapi-generator-ignore,22,238
.autopkg,22,222
.lasso,22,194
.timestamp,22,183
.moved,22,174
.zargo,22,173
.git/head,22,162
.playlist,22,135
.package,22,112
.cpu,22,110
.mapping,22,105
.qbk,21,36464
.vbp,21,23542
.rq,21,22641
.yang,21,6987
.mol,21,3955
.time,21,2777
.mappings,21,2497
.response,21,1778
.fix,21,1167
.p7m,21,1051
.geo,21,789
.ktx,21,642
.gff3,21,394
.rxml,21,363
.controller,21,343
.hmap,21,270
.scc,21,261
.dist-info/license,21,240
.mdp,21,237
.webloc,21,229
.ston,21,199
.pcm,21,192
.pref,21,191
.mht,21,162
.diagram,21,141
.sb,21,118
.slnf,21,112
.njsproj,21,111
.xpr,21,110
.prg,20,5035
.nq,20,3523
.hint,20,3203
.webidl,20,1130
.pyo,20,656
.nex,20,599
.int,20,573
.grd,20,538
.vcp,20,422
.ttx,20,405
.sdc,20,404
.pcapng,20,312
.asmx,20,271
.rpc,20,268
.lastcodeanalysissucceeded,20,217
.pal,20,215
.os,20,206
.prc,20,204
.ucf,20,199
.xpt,20,183
.cast,20,182
.icm,20,158
.chain,20,154
.cscfg,20,152
.xsc,20,152
.arm64v8,20,136
.extensionmodule,20,135
.dcr,20,128
.wsdd,20,115
.providers,20,104
.exec,20,102
.blob,20,101
.tesc,19,1708
.anim,19,1453
.image,19,1424
.tese,19,1056
.global,19,612
.resw,19,462
.story,19,447
.srv,19,409
.kv,19,314
.pg,19,282
.bug,19,273
.fo,19,272
.xmp,19,259
.m~,19,248
.routes,19,234
.atlas,19,217
.bf,19,209
.centos7,19,189
.x/makefile,19,173
.vh,19,170
.obs,19,157
.2/gemfile,19,154
.pig,19,152
.cpt,19,142
.bin/parser,19,136
.filesystemprovider,19,130
.m3u8,19,116
.aip,19,115
.matrix,19,113
.nrm,19,106
.sp,18,1531
.cjsx,18,1484
.urdf,18,1458
.smt2,18,1257
.function,18,981
.ch,18,875
.ufm,18,857
.cue,18,817
.resource,18,785
.cram,18,776
.sts,18,738
.material,18,616
.mexmaci64,18,583
.features,18,482
.system,18,470
.warning,18,419
.qgs,18,393
.mllib,18,351
.fon,18,344
.ant,18,329
.ani,18,288
.incl,18,277
.gts,18,267
.si,18,254
.mjml,18,208
.vpp,18,195
.seed,18,171
.jsdoc,18,167
.xss,18,163
.graph,18,157
.php-dist,18,153
.fl,18,146
.bootstrap,18,138
.dof,18,135
.gui,18,127
.auth,18,126
.git/description,18,126
.mld,18,117
.git/info/exclude,18,114
.vbw,18,114
.mp,18,111
.dtx,18,104
.exists,18,104
.headers,17,14546
.elc,17,7910
.trig,17,4123
.rdx,17,3014
.au3,17,2483
.ans,17,2189
.asn,17,1822
.filetree,17,1430
.pcss,17,1430
.generated,17,1011
.gin,17,945
.vec,17,698
.tmsnippet,17,611
.jasper,17,594
.edited,17,553
.gbr,17,526
.mexw64,17,474
.fp,17,427
.des,17,426
.insecure,17,403
.mrc,17,374
.fragment,17,292
.specification,17,266
.slurm,17,248
.step,17,205
.fail,17,198
.group,17,195
.treetop,17,192
.boot,17,190
.cube,17,156
.w,17,145
.rml,17,139
.winmd,17,136
.vcw,17,128
.xcfilelist,17,111
.txx,16,8043
.dtsi,16,4738
.prototxt,16,4710
.plan,16,2745
.qbs,16,2457
.meta/package,16,1405
.mps,16,1033
.prisma,16,883
.beam,16,856
.core/invalidarchivescache,16,479
.avdl,16,452
.mst,16,408
.removal,16,403
.kicad_mod,16,314
.rego,16,299
.fna,16,296
.ftlh,16,295
.gdf,16,294
.dem,16,267
.con,16,264
.tim,16,260
.rels,16,243
.openapi-generator/version,16,227
.pyf,16,216
.bw,16,209
.logic,16,187
.mock,16,159
.mno,16,156
.lpr,16,155
.ace,16,150
.bytes,16,147
.color,16,145
.git/refs/heads/master,16,131
.mplstyle,16,125
.var,16,120
.fd,16,112
.jflex,16,109
.regex,16,108
.rest,16,106
.ori,16,103
.gbl,16,102
.cov,15,54278
.ctp,15,7951
.cwl,15,4539
.lean,15,4342
.unit,15,4040
.sm,15,2113
.lm,15,1808
.wast,15,1650
.action,15,1593
.i18n,15,1195
.request,15,1187
.marker,15,1139
.purs,15,1112
.change,15,922
.dpk,15,917
.sd,15,553
.msgpack,15,513
.zsh-theme,15,407
.har,15,399
.mol2,15,312
.load,15,282
.xrc,15,277
.js_,15,272
.vagrant,15,240
.ase,15,222
.mif,15,216
.view,15,208
.rhel7,15,203
.utf-8,15,191
.fw,15,187
.lpi,15,176
.icu,15,149
.mom,15,148
.sjs,15,137
.maf,15,135
.jvm,15,125
.dist-info/requested,15,122
.3gp,15,113
.nowignore,15,112
.xar,15,106
.java~head,15,103
.summary,15,101
.wld,14,32504
.stan,14,5517
.ly,14,3164
.zig,14,2190
.tla,14,1793
.prolog,14,1792
.overlay,14,1653
.uc,14,1154
.bt,14,1038
.tml,14,923
.query,14,847
.cg,14,813
.sq,14,727
.isolate,14,621
.one,14,618
.sci,14,529
.gfs,14,509
.praat,14,475
.meta/version,14,452
.export,14,444
.em,14,442
.lng,14,434
.nml,14,383
.terminal,14,364
.ssp,14,349
.md2,14,315
.vtu,14,242
.wip,14,236
.rsc,14,229
.rev,14,189
.batch,14,187
.type,14,184
.icloud,14,167
.mkdn,14,165
.install4j,14,164
.lcf,14,145
.hsc,14,144
.mwe2,14,143
.vhdl,14,143
.skp,14,139
.hi,14,138
.ph,14,135
.trans,14,126
.rout,14,125
.qdocconf,14,124
.world,14,123
.pin,14,122
.tm,14,122
.3-r1,14,121
.topojson,14,115
.pattern,14,111
.rm,14,111
.mw,14,107
.js/lib/font/source-sans-pro/license,14,106
.note,14,102
.qix,14,101
.ovpn,13,34175
.dm,13,14058
.sqf,13,11865
.fst,13,11236
.abi,13,2376
.ycp,13,2059
.lfm,13,1591
.delta,13,1505
.vp,13,1063
.gro,13,948
.nasm,13,850
.gd,13,673
.mof,13,650
.uvproj,13,622
.mexa64,13,544
.cob,13,521
.ptx,13,478
.ppd,13,435
.tps,13,376
.svd,13,362
.0-r1,13,323
.eap,13,307
.v10,13,295
.schematic,13,292
.dbc,13,289
.scd,13,280
.3mf,13,268
.idr,13,247
.f95,13,244
.1-r1,13,226
.gc,13,211
.aird,13,206
.sky,13,192
.task,13,186
.scene,13,170
.cnd,13,151
.fit,13,149
.qmltypes,13,138
.delete,13,135
.loadableextension,13,128
.syntax,13,119
.avpr,13,117
.grammar,13,114
.mbox,13,109
.tfrecord,13,108
.ne,13,106
.js/lib/font/league-gothic/license,13,105
.fas,13,104
.marshal,13,104
.message,13,103
.al,12,2098
.sip,12,1448
.php3,12,1204
.jav,12,1101
.cdl,12,923
.crai,12,646
.wrong,12,511
.markers,12,477
.messages,12,455
.dom,12,405
.grid,12,403
.trc,12,400
.u,12,398
.rep,12,388
.scn,12,322
.wdl,12,284
.xshd,12,232
.stencil,12,226
.ioc,12,211
.bdsproj,12,200
.tr,12,197
.ps1xml,12,196
.nas,12,193
.seg,12,185
.busted,12,183
.trigger,12,181
.arc,12,163
.faa,12,154
.description,12,150
.dasc,12,149
.rsync,12,147
.srcinfo,12,147
.2-r1,12,144
.dictionary,12,144
.idraw,12,143
.cfe,12,142
.rptdesign,12,134
.cpp_,12,130
.stop,12,130
.th,12,122
.bench,12,113
.download,12,112
.rpt,12,109
.ixx,12,108
.rgba,12,104
.unitypackage,12,104
.in1,12,102
.checksum,11,56565
.xnb,11,12095
.cypher,11,8440
.mml,11,4941
.mdwn,11,3072
.items,11,2973
.nii,11,2236
.tes,11,2031
.slackbuild,11,1759
.poly,11,1490
.ys,11,1268
.ngc,11,1261
.dmn,11,1196
.xpl,11,1122
.sqm,11,1051
.dyn,11,1017
.fsi,11,950
.ewp,11,904
.wml,11,869
.gpi,11,784
.hjson,11,781
.drv,11,742
.sax,11,728
.eww,11,718
.ice,11,714
.wxss,11,676
.arb,11,617
.dtl,11,573
.sif,11,515
.uvopt,11,494
.cbor,11,493
.nf,11,472
.my,11,445
.axaml,11,417
.projbuild,11,416
.hg,11,415
.mexglx,11,409
.lastupdated,11,401
.bkl,11,383
.mlx,11,345
.ctx,11,337
.rul,11,325
.netdev,11,303
.fixture,11,261
.rchit,11,257
.ttt,11,251
.axlsx,11,237
.bmml,11,232
.sublime-completions,11,230
.pvr,11,216
.jpe,11,210
.tl,11,209
.pcb,11,199
.sha256sum,11,188
.val,11,188
.refresh,11,183
.ion,11,179
.svh,11,175
.scf,11,171
.cml,11,163
.moon,11,160
.ibd,11,157
.pbxbtree,11,146
.cal,11,139
.sim,11,134
.uu,11,134
.mpd,11,124
.flt,11,114
.ti,11,114
.amf,11,112
.descr,11,112
.email,11,112
.tbx,11,112
.manual,11,110
.xml_gen,11,103
.glif,10,200988
.marko,10,8634
.dita,10,7374
.jhm,10,5021
.flat,10,4961
.canonical,10,2270
.ic,10,1621
.vi,10,1279
.3tiff,10,1176
.lcl,10,891
.lut,10,655
.vtp,10,655
.board,10,630
.ewd,10,569
.regexp,10,535
.sreq,10,506
.core/externallibstimestamps,10,504
.creq,10,465
.authz,10,459
.mexw32,10,418
.mexmaci,10,355
.cginc,10,328
.dx,10,327
.uts,10,308
.sdp,10,306
.zh,10,274
.thtml,10,267
.ibm,10,257
.mt,10,215
.asis,10,189
.rgen,10,183
.v0,10,174
.fodt,10,167
.oracle,10,165
.remove,10,161
.nmf,10,160
.ifc,10,143
.mark,10,138
.bibtex,10,132
.tip,10,132
.vsl,10,131
.nhr,10,107
.nin,10,107
.nsq,10,107
.normal,10,103
.wsp,10,102
.eb,9,40103
.p4,9,11859
.object,9,5521
.tdb,9,4144
.asl,9,3642
.lgt,9,3494
.pkt,9,2771
.csd,9,2476
.ditamap,9,1434
.gmk,9,1353
.lg,9,1153
.uvprojx,9,762
.glyphs,9,667
.cnt,9,642
.uvoptx,9,635
.ir,9,634
.bicep,9,623
.grc,9,595
.wxml,9,536
.location,9,498
.tri,9,462
.smt,9,441
.ber,9,426
.fea,9,419
.wgsl,9,380
.swiftinterface,9,356
.pfm,9,345
.sizes,9,320
.latte,9,292
.structure,9,288
.lwo,9,282
.pkb,9,254
.ele,9,246
.mexmac,9,243
.gson,9,240
.sublime-snippet,9,227
.dash,9,225
.deface,9,211
.nomad,9,206
.lkml,9,201
.cst,9,200
.sug,9,194
.0-r2,9,191
.itp,9,182
.bs,9,176
.xise,9,171
.jdx,9,168
.ecl,9,167
.plain,9,166
.voc,9,165
.abs,9,155
.edge,9,152
.rails,9,140
.tmcommand,9,137
.stx,9,132
.1-r2,9,131
.lite,9,129
.mhd,9,128
.ras,9,126
.mpc,9,125
.tra,9,124
.pol,9,121
.sdb,9,121
.lammps,9,113
.pipeline,9,111
.diag,9,105
.dimacs,8,16286
.srx,8,10234
.hints,8,9341
.paa,8,3672
.rcp,8,3548
.se,8,2787
.bi,8,2628
.eep,8,1997
.hmm,8,1793
.vk,8,1610
.adl,8,1462
.underscore,8,1062
.dnn,8,988
.import,8,965
.qc,8,961
.nff,8,802
.xql,8,795
.fsm,8,782
.defconfig,8,759
.pm6,8,759
.rpl,8,645
.rei,8,631
.sto,8,578
.cx,8,553
.packlist,8,553
.k,8,538
.adc,8,513
.agda,8,469
.mdoc,8,460
.itermcolors,8,432
.stf,8,391
.upf,8,387
.symbolmap,8,369
.blp,8,364
.pmml,8,364
.htmlt,8,353
.soc,8,351
.kid,8,346
.peb,8,340
.flux,8,338
.smali,8,318
.dependency,8,316
.xtc,8,312
.myd,8,308
.wlk,8,292
.ccf,8,290
.nam,8,270
.dsv,8,262
.pks,8,255
.lmp,8,233
.xci,8,230
.donotdelete,8,229
.snip,8,228
.dss,8,227
.lc,8,224
.adv,8,217
.las,8,214
.fmx,8,192
.nlog,8,191
.blk,8,181
.192,8,180
.jpage,8,180
.baml,8,177
.tre,8,173
.glslf,8,172
.sassc,8,162
.epw,8,161
.iced,8,143
.px,8,143
.dbgdt,8,141
.skin,8,141
.dni,8,133
.ssv,8,130
.cnv,8,123
.ggb,8,119
.pgn,8,119
.fmpp,8,118
.signed,8,117
.stream,8,116
.ass,8,115
._makefile,8,113
.symvers,8,105
.bpl,8,103
.details,8,103
.mlir,7,4656
.mojom,7,3806
.ihtml,7,2148
.liq,7,1985
.cry,7,1955
.nbt,7,1808
.mv,7,1639
.med,7,1349
.textpb,7,1323
.spt,7,1076
.dcu,7,938
.loader-error,7,847
.pony,7,805
.das,7,735
.ih,7,651
.lvl,7,591
.spvasm,7,583
.ips,7,560
.tabular,7,555
.bcsymbolmap,7,504
.plx,7,490
.fusion,7,486
.txp,7,486
.scons,7,418
.bim,7,416
.digest,7,414
.errordata,7,376
.smproj,7,371
.series,7,369
.gh,7,367
.mcf,7,365
.yar,7,359
.xpath,7,353
.art,7,337
.dag,7,317
.doctest,7,312
.myi,7,306
.right,7,305
.kproj,7,295
.here,7,286
.thy,7,275
.xcl,7,272
.actual,7,255
.nblink,7,255
.ors,7,252
.gms,7,246
.descriptor,7,240
.xtendbin,7,215
.screen,7,211
.pds,7,208
.wnd,7,202
.clif,7,198
.svnbridge,7,198
.processed,7,188
.ros,7,187
.vtest,7,187
.power,7,185
.ffpreset,7,184
.att,7,167
.touch,7,165
.dl,7,164
.p3d,7,163
.nn,7,161
.rpgle,7,158
.plxarc,7,157
.prpt,7,146
.mn,7,139
.gir,7,138
.sb2,7,138
.scaml,7,135
.c_,7,133
.ix,7,133
.qasm,7,129
.hwdb,7,126
.openapi-generator/files,7,126
.xco,7,124
.tdf,7,121
.182,7,120
.sel,7,118
.hlsli,7,116
.rf,7,116
.ptf,7,113
.vsz,7,113
.bt2,7,112
.fnl,7,110
.psv,7,108
.chr,7,103
.repl,7,102
.jdk8,7,101
.msd,7,101
.xht,6,85267
.adm,6,8936
.xtb,6,8484
.quickbook,6,2799
.ceylon,6,2663
.dectest,6,2002
.cso,6,1963
.ktr,6,1730
.lay,6,1642
.audio,6,1513
.lt,6,1433
.gold-html,6,1380
.bm,6,1344
.pst,6,1324
.vader,6,1320
.curl,6,1116
.spr,6,1023
.vtl,6,907
.cookie,6,825
.get,6,807
.scxml,6,693
.mot,6,650
.tscn,6,641
.vtf,6,632
.vertex,6,520
.vmt,6,497
.zep,6,471
.vti,6,427
.tgs,6,407
.typoscript,6,397
.172,6,334
.lfe,6,332
.ol,6,331
.trivial,6,321
.pgf,6,317
.bpmn2,6,313
.jfd,6,302
.laz,6,278
.ma,6,276
.fixup,6,269
.xtmpl,6,262
.vmx,6,231
.fi,6,229
.ga,6,225
.xwd,6,222
.biom,6,221
.mtr,6,219
.adj,6,218
.tem,6,211
.xed,6,207
.ivy,6,202
.191,6,190
.amber,6,189
.bss,6,184
.locked,6,180
.skipautouninstall,6,178
.item,6,174
.textgrid,6,162
.tres,6,161
.atp,6,157
.mop,6,150
.py-tpl,6,146
.wsdt,6,145
.expect-noinput,6,144
.designspace,6,143
.generator,6,133
.eruby,6,128
.wt,6,127
.fact,6,126
.ged,6,125
.glslv,6,125
.pike,6,123
.ofn,6,121
.fm,6,120
.gold2,6,120
.lin,6,118
.buf,6,112
.cel,6,111
.edc,6,111
.ispc,6,110
.psh,6,108
.vgdbsettings,6,107
.gob,6,104
.nut,6,103
.rt,6,101
.r~,6,101
.jf,5,9479
.resjson,5,5792
.dmi,5,3634
.0/opam,5,2931
.neu,5,2406
.omex,5,2339
.const,5,2285
.rg,5,1829
.gbc,5,1802
.tt2,5,1153
.mnt,5,1047
.mission,5,1003
.crc32,5,1002
.fsf,5,890
.jdo,5,824
.rbi,5,785
.cht,5,780
.ctr,5,761
.1/opam,5,683
.ink,5,651
.orm,5,534
._trace,5,532
.channel,5,503
.done,5,502
.swd,5,501
.psi,5,489
.effect,5,463
.jdl,5,434
.xqm,5,399
.nlf,5,368
.atx,5,362
.tin,5,327
.181,5,324
.2/opam,5,303
.xxd,5,294
.mdef,5,291
.dmr,5,288
.tsconfig,5,288
.gdoc,5,282
.rvmat,5,281
.srj,5,266
.nm,5,264
.preseed,5,258
.hmi,5,238
.objects,5,235
.tsp,5,230
.terraform-version,5,227
.sigs,5,225
.aiml,5,224
.zcml,5,219
.noun,5,216
.verb,5,213
.emptydir,5,205
.poscar,5,204
.csc,5,202
.bsv,5,197
.qmlc,5,197
.193,5,196
.ht_,5,194
