extension,repos,files
.dsp,277,5011
.cur,277,3480
.mak,276,4260
.doctree,274,12664
.xcconfig,273,10246
.dox,272,6634
.dylib,272,4553
.styl,271,14049
.org/x/net/http2/readme,269,370
.cshtml,268,30255
.ignore,268,1599
.org/x/net/http2/dockerfile,268,364
.jade,267,11762
.disabled,263,2111
.org/x/net/http2/makefile,263,358
.org/x/text/authors,263,341
.org/x/text/contributors,263,341
.kts,262,13064
.xslt,262,2929
.jks,261,2715
.golden,260,11076
.iss,258,1399
.csslintrc,258,428
.md5,257,47612
.t,257,33369
.com/golang/protobuf/authors,257,322
.com/golang/protobuf/contributors,257,322
.debian,256,800
.empty,255,6981
.org/x/crypto/authors,254,303
.org/x/crypto/contributors,254,303
.raw,253,4562
.ps,252,3321
.p12,250,1059
.tf,248,22349
.vm,248,9551
.entitlements,248,1367
.php_cs,248,538
.gpg,246,58001
.version,246,1972
.hh,243,23118
.srl,243,511
.com/davecgh/go-spew/license,243,404
.dsw,242,1503
.nycrc,242,734
.pri,241,4595
.xhtml,240,29814
.l,239,15528
.exp,235,69842
.csr,235,1016
.sed,235,924
.com/pkg/errors/license,235,353
.nupkg,234,4854
.v2/notice,232,316
.dia,231,2555
.ods,230,1163
.wsdl,229,2850
.supp,229,508
.hs,228,37443
.gyp,228,10089
.text,228,9985
.git-blame-ignore-revs,228,232
.nix,227,48875
.podspec,226,3528
.linux,226,549
.trampolinerc,226,231
.xz,224,2519
.frag,223,32002
.pc,221,1511
.inl,220,17512
.rdf,220,5786
.src,219,4636
.cgi,219,1960
.glsl,216,13372
.tcl,215,29021
.launch,215,4420
.com/sirupsen/logrus/license,214,533
.haml,213,36135
.org/grpc/license,213,373
.com/spf13/pflag/license,211,400
.modulemap,210,2366
.clang-tidy,209,439
.tab,206,3644
.mit,206,851
.org/x/oauth2/license,205,391
.com/pmezard/go-difflib/license,205,303
.pfx,204,873
.v1/license,204,704
.pyi,203,16280
.script,202,1941
.res,201,9507
.com,201,2693
.cer,201,1577
.com/gogo/protobuf/license,201,376
.hgtags,201,285
.com/stretchr/testify/license,200,282
.pp,199,13613
.9,199,1069
.chm,199,619
.org/appengine/license,199,296
.watchmanconfig,195,483
.sublime-project,195,329
.io/license,195,284
.org/x/oauth2/authors,194,285
.org/x/oauth2/contributors,194,285
.org/grpc/makefile,194,251
.ftl,193,15290
.mat,193,11635
.make,193,4393
.postinst,193,1816
.pom,192,7647
.bazelrc,192,553
.f,191,36340
.graffle,191,1332
.org/genproto/license,191,287
.0/license,190,1695
.cff,190,308
.js/license,188,534
.keystore,187,700
.com/gogo/protobuf/proto/makefile,187,269
.htc,186,591
.vert,185,13691
.xcsettings,185,719
.skip,185,478
.com/golang/protobuf/proto/makefile,184,284
.com/prometheus/procfs/license,183,293
.com/hashicorp/golang-lru/license,183,280
.travis,182,260
.com/prometheus/procfs/notice,181,285
.devcontainer/dockerfile,181,194
.yardopts,178,1216
.10,178,1026
.mako,177,3216
.com/gogo/protobuf/contributors,177,229
.as,176,12100
.prj,176,4600
.inf,176,1270
.com/prometheus/common/license,176,259
.com/gogo/protobuf/authors,176,221
.gitreview,176,182
.flow,174,6192
.apk,174,2065
.webm,174,1487
.xcuserstate,174,477
.com/prometheus/client_golang/license,174,241
.com/matttproud/golang_protobuf_extensions/license,174,238
.code-workspace,174,232
.cert,173,782
.v0/license,173,319
.com/prometheus/client_model/license,173,236
.org/grpc/authors,173,197
.index,172,11747
.org/x/tools/license,172,234
.f90,171,22796
.rej,171,740
.com/prometheus/common/notice,171,246
.ld,170,5765
.new,170,2657
.g4,170,1750
.dirs,170,1086
.backup,170,920
.md~,170,599
.egg-info/pkg-info,170,576
.com/prometheus/procfs/makefile,170,204
.fish,169,543
.com/prometheus/client_golang/notice,169,228
.xproj,168,3075
.com/prometheus/client_model/notice,168,223
.com/beorn7/perks/license,168,212
.mdx,167,18172
.cu,166,7176
.url,166,1770
.x,166,1625
.ruleset,166,1421
.wxs,166,1375
.pas,165,12487
.ser,165,1784
.org/x/tools/patents,165,196
.placeholder,164,611
.nib,163,18516
.textile,163,10969
.pxd,163,3111
.dict,163,2192
.manpages,163,541
.sha1,162,35965
.rmd,162,5575
.psm1,162,1925
.phar,162,512
.com/go/license,162,272
.com/matttproud/golang_protobuf_extensions/notice,162,191
.aspx,161,4090
.zsh,161,2351
.yarnrc,160,400
.v3/license,160,232
.wasm,159,7119
.fla,159,586
.tt,158,9658
.bnf,158,667
.gnu,158,607
.io/makefile,158,200
.cproject,157,2289
.com/json-iterator/go/license,157,233
.org/x/time/license,157,201
.csh,156,743
.ex,155,33692
.node,155,2167
.input,155,2101
.fs,154,9387
.policy,154,2414
.helmignore,154,825
.lesser,154,292
.com/google/uuid/license,154,210
.org/x/text/language/makefile,154,209
.hex,153,24245
.tokens,153,2331
.directory,153,832
.mockmaker,153,468
.0/readme,153,407
.meta,152,299038
.cls,152,11220
.vbs,152,2029
.css_t,152,378
.github/issue_template,152,212
.org/x/time/patents,152,183
.expected,151,79712
.gypi,151,2713
.com/google/go-cmp/license,151,189
.org/x/tools/authors,151,161
.org/x/tools/contributors,151,161
.ldif,150,9194
.hcl,150,6300
.profile,150,3038
.geojson,149,5238
.mkd,149,2491
.glade,149,2056
.save,149,1920
.sqlite3,149,302
.com/mitchellh/mapstructure/license,149,218
.org/protobuf/license,149,205
.dart,148,158504
.ino,148,6981
.examples,148,1420
.com/ghodss/yaml/license,148,271
.com/inconshreveable/mousetrap/license,148,217
.com/matttproud/golang_protobuf_extensions/pbutil/makefile,148,160
.clj,147,13453
.options,147,2958
.reg,147,1202
.7z,147,454
.org/api/license,147,241
.com/modern-go/concurrent/license,147,218
.com/modern-go/reflect2/license,147,218
.aux,146,733
.com/jmespath/go-jmespath/license,146,260
.com/golang/groupcache/license,146,220
.com/google/uuid/contributors,146,157
.org/x/sync/license,145,235
.idl,144,39125
.scssc,144,6217
.bin/mkdirp,144,534
.pug,143,6265
.sketch,143,372
.org/protobuf/patents,143,159
.org/protobuf/authors,143,157
.org/protobuf/contributors,143,157
.husky/commit-msg,143,144
.svn/entries,142,2377
.odg,142,1055
.win,142,975
.1/license,142,367
.com/golang/glog/license,142,286
.org/x/xerrors/license,142,181
.qml,141,16175
.ent,141,4598
.der,141,3123
.status,141,801
.release,141,252
.ttar,141,175
.python-version,141,163
.com/prometheus/procfs/ttar,141,152
.ml,140,28897
.com/jmespath/go-jmespath/makefile,140,201
.v3/notice,140,185
.bashrc,139,407
.com/imdario/mergo/license,139,247
.com/mattn/go-isatty/license,139,192
.org/x/time/authors,139,153
.org/x/time/contributors,139,153
.rd,138,15374
.asax,138,652
.mdown,138,318
.com/google/gofuzz/license,138,256
.snyk,138,236
.com/fsnotify/fsnotify/license,138,181
.org/x/xerrors/patents,138,145
.form,137,8796
.icc,137,851
.bpf,137,257
.org/x/sync/patents,137,165
.com/pkg/errors/makefile,137,148
.org/x/xerrors/readme,137,143
.svn-base,136,40937
.graphql,136,6494
.lnk,136,6397
.asciidoc,136,3906
.g,136,1141
.11,136,725
.bin/semver,136,688
.repo,135,695
.pydevproject,135,259
.bats,133,2707
.deb,133,2212
.rar,133,496
.resolved,133,379
.gcloudignore,133,358
.windows,133,330
.idx,132,14151
.pb,132,10031
.builder,132,1205
.io/apimachinery/license,132,240
.com/burntsushi/toml/copying,132,201
.bin/rimraf,130,409
.io/authors,130,146
.opt,129,10035
.jl,129,8305
.dbf,129,5104
.output,129,4386
.h5,129,2914
.proj,129,927
.pdn,129,893
.w32,129,249
.com/mailru/easyjson/license,129,219
.com/konsorten/go-windows-terminal-sequences/license,129,152
.com/fsnotify/fsnotify/authors,129,148
.org/api/authors,129,148
.org/api/contributors,129,148
.org/x/sync/authors,129,145
.org/x/sync/contributors,129,145
.scm,128,5362
.xlf,127,10956
.lang,127,8441
.tga,127,4180
.org/api/googleapi/internal/uritemplates/license,127,189
.v,126,26120
.pod,126,16602
.err,126,8374
.json5,126,3194
.code,126,775
.mac,126,714
.mingw,126,282
.bin/which,126,280
.io/client-go/license,126,239
.include,125,2235
.fig,125,1740
.mov,125,439
.bin/uglifyjs,125,283
.com/gogo/protobuf/protoc-gen-gogo/descriptor/makefile,125,159
.all-contributorsrc,125,145
.jst,124,4483
.cabal,124,1050
.gcc,124,642
.py~,124,581
.yamllint,124,282
.com/golang/glog/readme,124,187
.node-version,124,169
.com/gogo/protobuf/gogoproto/makefile,124,158
.workflow,124,150
.qm,123,3645
.cd,123,1724
.base,123,383
.bin/nopt,123,297
.swo,123,269
.com/google/btree/license,123,171
.com/dgrijalva/jwt-go/license,123,167
.tool-versions,123,136
.vb,122,85197
.shp,122,5491
.pkl,122,2011
.schema,122,1168
.com/go-openapi/jsonpointer/license,122,208
